ZONE_NAME,CITY_NAME,DINNEROO_PARTNER_COUNT,DINNEROO_CUISINE_COUNT,TOTAL_DINNEROO_ORDERS,CUISINES_AVAILABLE,order_count,avg_rating,rating_count,unique_dishes,score_cuisine,score_partners,score_dishes,score_performance,score_quality,composite_score,rank
"Vauxhall, Kennington and Oval",London,1,1,22,italian,36,4.666666666666667,6.0,41,1,1,4,1,10,31.0,155
Saltdean,Brighton,2,1,12,italian,16,5.0,2.0,34,1,1,4,1,10,31.0,156
Sheffield,Sheffield,1,1,13,italian,18,5.0,3.0,37,1,1,4,1,10,31.0,157
Belfast,Belfast,2,1,10,italian,14,5.0,1.0,31,1,1,4,1,10,31.0,158
Chesham,London,1,1,21,italian,28,4.0,2.0,57,1,1,6,1,6,30.0,159
Lockleaze,Bristol,1,1,34,italian,40,3.75,4.0,31,1,1,4,4,4,29.5,160
Orpington,London,1,1,11,Asian,13,5.0,2.0,21,1,1,3,1,10,28.5,161
Purley,London,1,1,21,Asian,32,4.5,8.0,22,1,1,3,1,10,28.5,162
Crawley,Crawley,1,1,3,japanese,35,4.8,5.0,29,1,1,3,1,10,28.5,163
Stockport/Heaton Moor,Manchester,1,1,16,italian,26,5.0,3.0,28,1,1,3,1,10,28.5,164
Epping,London,1,1,7,italian,9,5.0,1.0,23,1,1,3,1,10,28.5,165
Belfast Central,Belfast,1,1,6,italian,11,5.0,1.0,26,1,1,3,1,10,28.5,166
Tooting,London,1,1,15,sushi,37,5.0,3.0,23,1,1,3,1,10,28.5,167
Bournemouth East,Bournemouth,1,1,23,italian,33,3.5714285714285716,7.0,63,1,1,6,1,4,27.0,168
"Dun laoghaire, Dalkey, Killiney",Dublin,1,1,17,italian,22,4.333333333333333,6.0,29,1,1,3,1,8,25.5,169
East Barnet,London,1,1,15,indian,17,4.4,5.0,25,1,1,3,1,8,25.5,170
Borehamwood,London,1,1,12,italian,16,4.0,2.0,31,1,1,4,1,6,25.0,171
Altrincham and Hale,Manchester,1,1,9,italian,23,4.2,5.0,36,1,1,4,1,6,25.0,172
Maidenhead,London,1,1,19,italian,27,4.166666666666667,6.0,31,1,1,4,1,6,25.0,173
Woolwich,London,1,1,10,Asian,15,5.0,1.0,13,1,1,1,1,10,23.5,174
Slough,London,1,1,7,Asian,11,5.0,1.0,8,1,1,1,1,10,23.5,175
Taplow and Burnham,London,1,1,21,italian,28,0.0,0.0,30,1,1,4,1,5,23.5,176
Kylemore,Dublin,1,1,22,chinese,34,5.0,4.0,16,1,1,1,1,10,23.5,177
Crystal Palace / Penge,London,1,1,3,Asian,11,4.666666666666667,3.0,13,1,1,1,1,10,23.5,178
Glasgow Centre East,Glasgow,1,1,1,japanese,6,5.0,1.0,17,1,1,1,1,10,23.5,179
Mulhuddart,Dublin,1,1,19,italian,28,4.0,4.0,28,1,1,3,1,6,22.5,180
Rotherham,Sheffield,1,1,17,Latin American,17,4.0,2.0,26,1,1,3,1,6,22.5,181
Grays,London,1,1,21,Latin American,28,3.6,5.0,36,1,1,4,1,4,22.0,182
Leyton,London,1,1,13,indian,17,3.5,4.0,33,1,1,4,1,4,22.0,183
Shirley / Wickham,London,1,1,25,italian,33,3.5,4.0,48,1,1,4,1,4,22.0,184
Gerrards Cross,London,1,1,21,italian,35,3.857142857142857,7.0,34,1,1,4,1,4,22.0,185
Fleet,Camberley,1,1,29,italian,38,3.5454545454545454,11.0,39,1,1,4,1,4,22.0,186
Portsmouth,Portsmouth,1,1,11,sushi,15,0.0,0.0,22,1,1,3,1,5,21.0,187
Eastleigh Central,Southampton,1,1,9,italian,16,3.0,2.0,30,1,1,4,1,2,19.0,188
Hitchin,London,1,1,18,italian,26,3.0,3.0,47,1,1,4,1,2,19.0,189
Farnborough,Camberley,1,1,7,italian,14,2.3333333333333335,3.0,24,1,1,3,1,2,16.5,190
Letchworth Garden City,London,1,1,2,italian,4,0.0,0.0,9,1,1,1,1,5,16.0,191
Maidstone,Maidstone,1,1,2,sushi,9,0.0,0.0,13,1,1,1,1,5,16.0,192
Euston,London,1,1,2,Salads,2,0.0,0.0,9,1,1,1,1,5,16.0,193
Waterloo & Southbank,London,2,2,7,"Sandwiches, italian",9,1.0,1.0,20,2,1,1,1,2,13.5,194
Port Solent,Portsmouth,1,1,2,italian,3,1.0,1.0,8,1,1,1,1,2,11.5,195
Greater Leeds,Leeds,1,1,1,Asian,13,1.0,1.0,15,1,1,1,1,2,11.5,196
Belfast East,Belfast,1,1,8,italian,8,1.0,1.0,12,1,1,1,1,2,11.5,197
