region,cuisine,order_count,order_share,national_share,index_vs_national,regional_strength
London,Gyros,131,0.06,0.14,44.5,Weak
London,Iranian,132,0.06,0.04,145.7,Strong
London,Malaysian,125,0.06,0.06,99.7,Moderate
London,Stir Fry,137,0.06,0.18,35.3,Weak
London,Taiwanese,128,0.06,0.06,103.5,Moderate
London,Argentinian,110,0.05,0.05,100.8,Moderate
London,Bo Bun,101,0.05,0.02,291.1,Strong
London,Brazilian,101,0.05,0.05,90.0,Moderate
London,Cakes,115,0.05,0.09,56.6,Weak
London,Shawarma,107,0.05,0.06,84.0,Moderate
London,Sichuan,113,0.05,0.07,79.5,Weak
London,Sweet Treats,109,0.05,0.03,193.7,Strong
London,Wing Fest 2025,109,0.05,0.03,155.6,Strong
London,Deliveroo Students Offers,90,0.04,0.02,222.6,Strong
London,Donuts,87,0.04,0.04,113.8,Moderate
London,Health Conscious,91,0.04,0.06,65.7,Weak
London,Meal Deal,89,0.04,0.07,58.1,Weak
